"","state","sex","age","race","party","n"
"922","FL","Male","25-34","Non-Hispanic White","Republican",165731
"923","FL","Male","25-34","Other","Democratic",97027
"924","FL","Male","25-34","Other","Other",118502
"925","FL","Male","25-34","Other","Republican",62347
"926","FL","Male","35-44","Black","Democratic",86884
"927","FL","Male","35-44","Black","Other",28332
"928","FL","Male","35-44","Black","Republican",5662
"929","FL","Male","35-44","Non-Hispanic White","Democratic",90064
"930","FL","Male","35-44","Non-Hispanic White","Other",135281
"931","FL","Male","35-44","Non-Hispanic White","Republican",177507
"932","FL","Male","35-44","Other","Democratic",86987
"933","FL","Male","35-44","Other","Other",107621
"934","FL","Male","35-44","Other","Republican",67984
"935","FL","Male","45-54","Black","Democratic",93636
"936","FL","Male","45-54","Black","Other",22253
"937","FL","Male","45-54","Black","Republican",6747
"938","FL","Male","45-54","Non-Hispanic White","Democratic",117108
"939","FL","Male","45-54","Non-Hispanic White","Other",143613
"940","FL","Male","45-54","Non-Hispanic White","Republican",278414
"941","FL","Male","45-54","Other","Democratic",91206
"942","FL","Male","45-54","Other","Other",102211
"943","FL","Male","45-54","Other","Republican",96077
"944","FL","Male","55-64","Black","Democratic",94621
"945","FL","Male","55-64","Black","Other",15057
"946","FL","Male","55-64","Black","Republican",6084
"947","FL","Male","55-64","Non-Hispanic White","Democratic",166651
"948","FL","Male","55-64","Non-Hispanic White","Other",144178
"949","FL","Male","55-64","Non-Hispanic White","Republican",323610
"950","FL","Male","55-64","Other","Democratic",86925
"951","FL","Male","55-64","Other","Other",75410
"952","FL","Male","55-64","Other","Republican",88759
"953","FL","Male","<25","Black","Democratic",66687
"954","FL","Male","<25","Black","Other",29895
"955","FL","Male","<25","Black","Republican",3976
"956","FL","Male","<25","Non-Hispanic White","Democratic",45221
"957","FL","Male","<25","Non-Hispanic White","Other",90725
"958","FL","Male","<25","Non-Hispanic White","Republican",98211
"959","FL","Male","<25","Other","Democratic",57729
"960","FL","Male","<25","Other","Other",84211
"961","FL","Male","<25","Other","Republican",39917
"962","FL","Male",">65","Black","Democratic",98056
"963","FL","Male",">65","Black","Other",10562
"964","FL","Male",">65","Black","Republican",5020
"965","FL","Male",">65","Non-Hispanic White","Democratic",294542
"966","FL","Male",">65","Non-Hispanic White","Other",213945
"967","FL","Male",">65","Non-Hispanic White","Republican",536765
"968","FL","Male",">65","Other","Democratic",125689
"969","FL","Male",">65","Other","Other",87277
"970","FL","Male",">65","Other","Republican",140843
"971","GA","Female","25-34","Black","Democratic",48455
"972","GA","Female","25-34","Black","Other",132175
"973","GA","Female","25-34","Black","Republican",2193
"974","GA","Female","25-34","Non-Hispanic White","Democratic",24111
"975","GA","Female","25-34","Non-Hispanic White","Other",133448
"976","GA","Female","25-34","Non-Hispanic White","Republican",61807
"977","GA","Female","25-34","Other","Democratic",7842
"978","GA","Female","25-34","Other","Other",45887
"979","GA","Female","25-34","Other","Republican",9839
"980","GA","Female","35-44","Black","Democratic",78367
"981","GA","Female","35-44","Black","Other",92749
"982","GA","Female","35-44","Black","Republican",3466
"983","GA","Female","35-44","Non-Hispanic White","Democratic",32665
"984","GA","Female","35-44","Non-Hispanic White","Other",96206
"985","GA","Female","35-44","Non-Hispanic White","Republican",92712
"986","GA","Female","35-44","Other","Democratic",9408
"987","GA","Female","35-44","Other","Other",38085
"988","GA","Female","35-44","Other","Republican",13942
"989","GA","Female","45-54","Black","Democratic",101516
"990","GA","Female","45-54","Black","Other",72756
"991","GA","Female","45-54","Black","Republican",5041
"992","GA","Female","45-54","Non-Hispanic White","Democratic",41747
"993","GA","Female","45-54","Non-Hispanic White","Other",90863
"994","GA","Female","45-54","Non-Hispanic White","Republican",147300
"995","GA","Female","45-54","Other","Democratic",9726
"996","GA","Female","45-54","Other","Other",31637
"997","GA","Female","45-54","Other","Republican",19433
"998","GA","Female","55-64","Black","Democratic",101613
"999","GA","Female","55-64","Black","Other",49361
"1000","GA","Female","55-64","Black","Republican",5098
"1001","GA","Female","55-64","Non-Hispanic White","Democratic",52754
"1002","GA","Female","55-64","Non-Hispanic White","Other",70207
"1003","GA","Female","55-64","Non-Hispanic White","Republican",165308
"1004","GA","Female","55-64","Other","Democratic",9316
"1005","GA","Female","55-64","Other","Other",20401
"1006","GA","Female","55-64","Other","Republican",18618
"1007","GA","Female","<25","Black","Democratic",16448
"1008","GA","Female","<25","Black","Other",75236
"1009","GA","Female","<25","Black","Republican",735
"1010","GA","Female","<25","Non-Hispanic White","Democratic",9147
"1011","GA","Female","<25","Non-Hispanic White","Other",77620
"1012","GA","Female","<25","Non-Hispanic White","Republican",24991
"1013","GA","Female","<25","Other","Democratic",4311
"1014","GA","Female","<25","Other","Other",29219
"1015","GA","Female","<25","Other","Republican",3933
"1016","GA","Female",">65","Black","Democratic",107702
"1017","GA","Female",">65","Black","Other",34199
"1018","GA","Female",">65","Black","Republican",4959
"1019","GA","Female",">65","Non-Hispanic White","Democratic",84876
"1020","GA","Female",">65","Non-Hispanic White","Other",66620
"1021","GA","Female",">65","Non-Hispanic White","Republican",242401
"1022","GA","Female",">65","Other","Democratic",11259
"1023","GA","Female",">65","Other","Other",17517
"1024","GA","Female",">65","Other","Republican",22818
"1025","GA","Male","25-34","Black","Democratic",25377
"1026","GA","Male","25-34","Black","Other",114813
"1027","GA","Male","25-34","Black","Republican",1769
"1028","GA","Male","25-34","Non-Hispanic White","Democratic",20576
"1029","GA","Male","25-34","Non-Hispanic White","Other",129817
"1030","GA","Male","25-34","Non-Hispanic White","Republican",57684
"1031","GA","Male","25-34","Other","Democratic",5685
"1032","GA","Male","25-34","Other","Other",40021
"1033","GA","Male","25-34","Other","Republican",7621
"1034","GA","Male","35-44","Black","Democratic",37439
"1035","GA","Male","35-44","Black","Other",80565
"1036","GA","Male","35-44","Black","Republican",2759
"1037","GA","Male","35-44","Non-Hispanic White","Democratic",24980
"1038","GA","Male","35-44","Non-Hispanic White","Other",91436
"1039","GA","Male","35-44","Non-Hispanic White","Republican",84358
"1040","GA","Male","35-44","Other","Democratic",5945
"1041","GA","Male","35-44","Other","Other",30728
"1042","GA","Male","35-44","Other","Republican",10777
"1043","GA","Male","45-54","Black","Democratic",59346
"1044","GA","Male","45-54","Black","Other",71691
"1045","GA","Male","45-54","Black","Republican",4699
"1046","GA","Male","45-54","Non-Hispanic White","Democratic",33190
"1047","GA","Male","45-54","Non-Hispanic White","Other",89814
"1048","GA","Male","45-54","Non-Hispanic White","Republican",141674
"1049","GA","Male","45-54","Other","Democratic",7469
"1050","GA","Male","45-54","Other","Other",31579
"1051","GA","Male","45-54","Other","Republican",17559
"1052","GA","Male","55-64","Black","Democratic",63075
"1053","GA","Male","55-64","Black","Other",49663
"1054","GA","Male","55-64","Black","Republican",4740
"1055","GA","Male","55-64","Non-Hispanic White","Democratic",40071
"1056","GA","Male","55-64","Non-Hispanic White","Other",64093
"1057","GA","Male","55-64","Non-Hispanic White","Republican",159022
"1058","GA","Male","55-64","Other","Democratic",7430
"1059","GA","Male","55-64","Other","Other",20179
"1060","GA","Male","55-64","Other","Republican",17880
"1061","GA","Male","<25","Black","Democratic",10802
"1062","GA","Male","<25","Black","Other",66215
"1063","GA","Male","<25","Black","Republican",675
"1064","GA","Male","<25","Non-Hispanic White","Democratic",7768
"1065","GA","Male","<25","Non-Hispanic White","Other",77542
"1066","GA","Male","<25","Non-Hispanic White","Republican",24955
"1067","GA","Male","<25","Other","Democratic",3201
"1068","GA","Male","<25","Other","Other",27552
"1069","GA","Male","<25","Other","Republican",3761
"1070","GA","Male",">65","Black","Democratic",64492
"1071","GA","Male",">65","Black","Other",26999
"1072","GA","Male",">65","Black","Republican",4316
"1073","GA","Male",">65","Non-Hispanic White","Democratic",60906
"1074","GA","Male",">65","Non-Hispanic White","Other",47492
"1075","GA","Male",">65","Non-Hispanic White","Republican",225030
"1076","GA","Male",">65","Other","Democratic",9213
"1077","GA","Male",">65","Other","Other",15494
"1078","GA","Male",">65","Other","Republican",22151
"1079","HI","Female","25-34","Black","Democratic",47
"1080","HI","Female","25-34","Black","Republican",2
"1081","HI","Female","25-34","Non-Hispanic White","Democratic",3617
"1082","HI","Female","25-34","Non-Hispanic White","Other",2391
"1083","HI","Female","25-34","Non-Hispanic White","Republican",1271
"1084","HI","Female","25-34","Other","Democratic",7621
"1085","HI","Female","25-34","Other","Other",3970
"1086","HI","Female","25-34","Other","Republican",2074
"1087","HI","Female","35-44","Black","Democratic",268
"1088","HI","Female","35-44","Black","Republican",9
"1089","HI","Female","35-44","Non-Hispanic White","Democratic",20463
"1090","HI","Female","35-44","Non-Hispanic White","Other",13027
"1091","HI","Female","35-44","Non-Hispanic White","Republican",3763
"1092","HI","Female","35-44","Other","Democratic",35518
"1093","HI","Female","35-44","Other","Other",18102
"1094","HI","Female","35-44","Other","Republican",4115
"1095","HI","Female","45-54","Black","Democratic",68
"1096","HI","Female","45-54","Black","Republican",8
"1097","HI","Female","45-54","Non-Hispanic White","Democratic",7033
"1098","HI","Female","45-54","Non-Hispanic White","Other",6753
"1099","HI","Female","45-54","Non-Hispanic White","Republican",3813
"1100","HI","Female","45-54","Other","Democratic",16528
"1101","HI","Female","45-54","Other","Other",11915
"1102","HI","Female","45-54","Other","Republican",4559
"1103","HI","Female","55-64","Black","Democratic",97
"1104","HI","Female","55-64","Black","Republican",6
"1105","HI","Female","55-64","Non-Hispanic White","Democratic",9568
"1106","HI","Female","55-64","Non-Hispanic White","Other",8600
"1107","HI","Female","55-64","Non-Hispanic White","Republican",4955
"1108","HI","Female","55-64","Other","Democratic",21099
"1109","HI","Female","55-64","Other","Other",13015
"1110","HI","Female","55-64","Other","Republican",7136
"1111","HI","Female","<25","Black","Democratic",9
"1112","HI","Female","<25","Black","Republican",1
"1113","HI","Female","<25","Non-Hispanic White","Democratic",633
"1114","HI","Female","<25","Non-Hispanic White","Other",800
"1115","HI","Female","<25","Non-Hispanic White","Republican",325
"1116","HI","Female","<25","Other","Democratic",1901
"1117","HI","Female","<25","Other","Other",1556
"1118","HI","Female","<25","Other","Republican",550
"1119","HI","Female",">65","Black","Democratic",113
"1120","HI","Female",">65","Black","Republican",11
"1121","HI","Female",">65","Non-Hispanic White","Democratic",16830
"1122","HI","Female",">65","Non-Hispanic White","Other",7790
"1123","HI","Female",">65","Non-Hispanic White","Republican",7028
"1124","HI","Female",">65","Other","Democratic",43723
"1125","HI","Female",">65","Other","Other",11369
"1126","HI","Female",">65","Other","Republican",11447
"1127","HI","Male","25-34","Black","Democratic",34
"1128","HI","Male","25-34","Non-Hispanic White","Democratic",911
"1129","HI","Male","25-34","Non-Hispanic White","Other",3437
"1130","HI","Male","25-34","Non-Hispanic White","Republican",1039
"1131","HI","Male","25-34","Other","Democratic",3195
"1132","HI","Male","25-34","Other","Other",5043
"1133","HI","Male","25-34","Other","Republican",1584
"1134","HI","Male","35-44","Black","Democratic",182
"1135","HI","Male","35-44","Black","Republican",6
"1136","HI","Male","35-44","Non-Hispanic White","Democratic",5034
"1137","HI","Male","35-44","Non-Hispanic White","Other",26691
"1138","HI","Male","35-44","Non-Hispanic White","Republican",4136
"1139","HI","Male","35-44","Other","Democratic",12735
"1140","HI","Male","35-44","Other","Other",33378
"1141","HI","Male","35-44","Other","Republican",3659
"1142","HI","Male","45-54","Black","Democratic",65
"1143","HI","Male","45-54","Black","Republican",2
"1144","HI","Male","45-54","Non-Hispanic White","Democratic",2335
"1145","HI","Male","45-54","Non-Hispanic White","Other",11206
"1146","HI","Male","45-54","Non-Hispanic White","Republican",4108
"1147","HI","Male","45-54","Other","Democratic",8892
"1148","HI","Male","45-54","Other","Other",18662
"1149","HI","Male","45-54","Other","Republican",4563
"1150","HI","Male","55-64","Black","Democratic",79
"1151","HI","Male","55-64","Black","Republican",7
"1152","HI","Male","55-64","Non-Hispanic White","Democratic",3806
"1153","HI","Male","55-64","Non-Hispanic White","Other",14019
"1154","HI","Male","55-64","Non-Hispanic White","Republican",5242
"1155","HI","Male","55-64","Other","Democratic",11905
"1156","HI","Male","55-64","Other","Other",20519
"1157","HI","Male","55-64","Other","Republican",6936
"1158","HI","Male","<25","Black","Democratic",2
"1159","HI","Male","<25","Non-Hispanic White","Democratic",262
"1160","HI","Male","<25","Non-Hispanic White","Other",908
"1161","HI","Male","<25","Non-Hispanic White","Republican",258
"1162","HI","Male","<25","Other","Democratic",996
"1163","HI","Male","<25","Other","Other",1460
"1164","HI","Male","<25","Other","Republican",451
"1165","HI","Male",">65","Black","Democratic",93
"1166","HI","Male",">65","Black","Republican",5
"1167","HI","Male",">65","Non-Hispanic White","Democratic",8576
"1168","HI","Male",">65","Non-Hispanic White","Other",15084
"1169","HI","Male",">65","Non-Hispanic White","Republican",7839
"1170","HI","Male",">65","Other","Democratic",26825
"1171","HI","Male",">65","Other","Other",19937
"1172","HI","Male",">65","Other","Republican",11009
"1173","ID","Female","25-34","Black","Democratic",39
"1174","ID","Female","25-34","Black","Other",22
"1175","ID","Female","25-34","Black","Republican",12
"1176","ID","Female","25-34","Non-Hispanic White","Democratic",4196
"1177","ID","Female","25-34","Non-Hispanic White","Other",13564
"1178","ID","Female","25-34","Non-Hispanic White","Republican",15320
"1179","ID","Female","25-34","Other","Democratic",1680
"1180","ID","Female","25-34","Other","Other",4095
"1181","ID","Female","25-34","Other","Republican",2815
"1182","ID","Female","35-44","Black","Democratic",25
"1183","ID","Female","35-44","Black","Other",26
"1184","ID","Female","35-44","Black","Republican",12
"1185","ID","Female","35-44","Non-Hispanic White","Democratic",4299
"1186","ID","Female","35-44","Non-Hispanic White","Other",17553
"1187","ID","Female","35-44","Non-Hispanic White","Republican",20347
"1188","ID","Female","35-44","Other","Democratic",1429
"1189","ID","Female","35-44","Other","Other",4214
"1190","ID","Female","35-44","Other","Republican",3227
"1191","ID","Female","45-54","Black","Democratic",22
"1192","ID","Female","45-54","Black","Other",16
"1193","ID","Female","45-54","Black","Republican",6
"1194","ID","Female","45-54","Non-Hispanic White","Democratic",4095
"1195","ID","Female","45-54","Non-Hispanic White","Other",20217
"1196","ID","Female","45-54","Non-Hispanic White","Republican",23543
"1197","ID","Female","45-54","Other","Democratic",1188
"1198","ID","Female","45-54","Other","Other",4280
"1199","ID","Female","45-54","Other","Republican",3687
"1200","ID","Female","55-64","Black","Democratic",13
"1201","ID","Female","55-64","Black","Other",15
"1202","ID","Female","55-64","Black","Republican",6
"1203","ID","Female","55-64","Non-Hispanic White","Democratic",6429
"1204","ID","Female","55-64","Non-Hispanic White","Other",24133
"1205","ID","Female","55-64","Non-Hispanic White","Republican",32065
"1206","ID","Female","55-64","Other","Democratic",1317
"1207","ID","Female","55-64","Other","Other",4283
"1208","ID","Female","55-64","Other","Republican",4200
"1209","ID","Female","<25","Black","Democratic",14
"1210","ID","Female","<25","Black","Other",4
"1211","ID","Female","<25","Black","Republican",6
"1212","ID","Female","<25","Non-Hispanic White","Democratic",2425
"1213","ID","Female","<25","Non-Hispanic White","Other",6987
"1214","ID","Female","<25","Non-Hispanic White","Republican",9208
"1215","ID","Female","<25","Other","Democratic",1239
"1216","ID","Female","<25","Other","Other",2490
"1217","ID","Female","<25","Other","Republican",1859
"1218","ID","Female",">65","Black","Democratic",20
"1219","ID","Female",">65","Black","Other",10
"1220","ID","Female",">65","Black","Republican",11
"1221","ID","Female",">65","Non-Hispanic White","Democratic",10619
"1222","ID","Female",">65","Non-Hispanic White","Other",29109
"1223","ID","Female",">65","Non-Hispanic White","Republican",50373
"1224","ID","Female",">65","Other","Democratic",1862
"1225","ID","Female",">65","Other","Other",4620
"1226","ID","Female",">65","Other","Republican",6043
"1227","ID","Male","25-34","Black","Democratic",16
"1228","ID","Male","25-34","Black","Other",19
"1229","ID","Male","25-34","Black","Republican",14
"1230","ID","Male","25-34","Non-Hispanic White","Democratic",2609
"1231","ID","Male","25-34","Non-Hispanic White","Other",13026
"1232","ID","Male","25-34","Non-Hispanic White","Republican",14115
"1233","ID","Male","25-34","Other","Democratic",908
"1234","ID","Male","25-34","Other","Other",3196
"1235","ID","Male","25-34","Other","Republican",2304
"1236","ID","Male","35-44","Black","Democratic",12
"1237","ID","Male","35-44","Black","Other",16
"1238","ID","Male","35-44","Black","Republican",5
"1239","ID","Male","35-44","Non-Hispanic White","Democratic",2555
"1240","ID","Male","35-44","Non-Hispanic White","Other",15895
"1241","ID","Male","35-44","Non-Hispanic White","Republican",18606
"1242","ID","Male","35-44","Other","Democratic",760
"1243","ID","Male","35-44","Other","Other",3350
"1244","ID","Male","35-44","Other","Republican",2532
"1245","ID","Male","45-54","Black","Democratic",9
"1246","ID","Male","45-54","Black","Other",14
"1247","ID","Male","45-54","Black","Republican",3
"1248","ID","Male","45-54","Non-Hispanic White","Democratic",2454
"1249","ID","Male","45-54","Non-Hispanic White","Other",18169
"1250","ID","Male","45-54","Non-Hispanic White","Republican",22358
"1251","ID","Male","45-54","Other","Democratic",849
"1252","ID","Male","45-54","Other","Other",3610
"1253","ID","Male","45-54","Other","Republican",3163
"1254","ID","Male","55-64","Black","Democratic",14
"1255","ID","Male","55-64","Black","Other",8
"1256","ID","Male","55-64","Black","Republican",7
"1257","ID","Male","55-64","Non-Hispanic White","Democratic",3618
"1258","ID","Male","55-64","Non-Hispanic White","Other",21243
"1259","ID","Male","55-64","Non-Hispanic White","Republican",30208
"1260","ID","Male","55-64","Other","Democratic",960
"1261","ID","Male","55-64","Other","Other",3821
"1262","ID","Male","55-64","Other","Republican",3897
"1263","ID","Male","<25","Black","Democratic",9
"1264","ID","Male","<25","Black","Other",10
"1265","ID","Male","<25","Black","Republican",8
"1266","ID","Male","<25","Non-Hispanic White","Democratic",1813
"1267","ID","Male","<25","Non-Hispanic White","Other",7226
"1268","ID","Male","<25","Non-Hispanic White","Republican",9545
"1269","ID","Male","<25","Other","Democratic",780
"1270","ID","Male","<25","Other","Other",2219
"1271","ID","Male","<25","Other","Republican",1721
"1272","ID","Male",">65","Black","Democratic",19
"1273","ID","Male",">65","Black","Other",11
"1274","ID","Male",">65","Black","Republican",7
"1275","ID","Male",">65","Non-Hispanic White","Democratic",6705
"1276","ID","Male",">65","Non-Hispanic White","Other",26025
"1277","ID","Male",">65","Non-Hispanic White","Republican",48682
"1278","ID","Male",">65","Other","Democratic",1278
"1279","ID","Male",">65","Other","Other",4142
"1280","ID","Male",">65","Other","Republican",5777
"1281","IL","Female","25-34","Black","Democratic",42982
"1282","IL","Female","25-34","Black","Other",46492
"1283","IL","Female","25-34","Black","Republican",761
"1284","IL","Female","25-34","Non-Hispanic White","Democratic",96604
"1285","IL","Female","25-34","Non-Hispanic White","Other",213597
"1286","IL","Female","25-34","Non-Hispanic White","Republican",55292
"1287","IL","Female","25-34","Other","Democratic",63245
"1288","IL","Female","25-34","Other","Other",110353
"1289","IL","Female","25-34","Other","Republican",14856
"1290","IL","Female","35-44","Black","Democratic",56666
"1291","IL","Female","35-44","Black","Other",29128
"1292","IL","Female","35-44","Black","Republican",1023
"1293","IL","Female","35-44","Non-Hispanic White","Democratic",108930
"1294","IL","Female","35-44","Non-Hispanic White","Other",164753
"1295","IL","Female","35-44","Non-Hispanic White","Republican",85917
"1296","IL","Female","35-44","Other","Democratic",67122
"1297","IL","Female","35-44","Other","Other",88510
"1298","IL","Female","35-44","Other","Republican",22493
"1299","IL","Female","45-54","Black","Democratic",67856
"1300","IL","Female","45-54","Black","Other",22344
"1301","IL","Female","45-54","Black","Republican",1243
"1302","IL","Female","45-54","Non-Hispanic White","Democratic",141938
"1303","IL","Female","45-54","Non-Hispanic White","Other",139465
"1304","IL","Female","45-54","Non-Hispanic White","Republican",150226
"1305","IL","Female","45-54","Other","Democratic",66808
"1306","IL","Female","45-54","Other","Other",62737
"1307","IL","Female","45-54","Other","Republican",34395
"1308","IL","Female","55-64","Black","Democratic",75067
"1309","IL","Female","55-64","Black","Other",16050
"1310","IL","Female","55-64","Black","Republican",1510
"1311","IL","Female","55-64","Non-Hispanic White","Democratic",177741
"1312","IL","Female","55-64","Non-Hispanic White","Other",112419
"1313","IL","Female","55-64","Non-Hispanic White","Republican",184702
"1314","IL","Female","55-64","Other","Democratic",68721
"1315","IL","Female","55-64","Other","Other",45303
"1316","IL","Female","55-64","Other","Republican",37963
"1317","IL","Female","<25","Black","Democratic",16084
"1318","IL","Female","<25","Black","Other",30302
"1319","IL","Female","<25","Black","Republican",291
"1320","IL","Female","<25","Non-Hispanic White","Democratic",45394
"1321","IL","Female","<25","Non-Hispanic White","Other",103411
"1322","IL","Female","<25","Non-Hispanic White","Republican",22544
"1323","IL","Female","<25","Other","Democratic",40295
"1324","IL","Female","<25","Other","Other",59764
"1325","IL","Female","<25","Other","Republican",6588
"1326","IL","Female",">65","Black","Democratic",94445
"1327","IL","Female",">65","Black","Other",12310
"1328","IL","Female",">65","Black","Republican",1644
"1329","IL","Female",">65","Non-Hispanic White","Democratic",243534
"1330","IL","Female",">65","Non-Hispanic White","Other",123008
"1331","IL","Female",">65","Non-Hispanic White","Republican",272539
"1332","IL","Female",">65","Other","Democratic",85183
"1333","IL","Female",">65","Other","Other",47229
"1334","IL","Female",">65","Other","Republican",55079
"1335","IL","Male","25-34","Black","Democratic",24000
"1336","IL","Male","25-34","Black","Other",47158
"1337","IL","Male","25-34","Black","Republican",733
"1338","IL","Male","25-34","Non-Hispanic White","Democratic",81821
"1339","IL","Male","25-34","Non-Hispanic White","Other",201720
"1340","IL","Male","25-34","Non-Hispanic White","Republican",61768
"1341","IL","Male","25-34","Other","Democratic",46285
"1342","IL","Male","25-34","Other","Other",99841
"1343","IL","Male","25-34","Other","Republican",15643
"1344","IL","Male","35-44","Black","Democratic",32069
"1345","IL","Male","35-44","Black","Other",31882
"1346","IL","Male","35-44","Black","Republican",867
"1347","IL","Male","35-44","Non-Hispanic White","Democratic",86507
"1348","IL","Male","35-44","Non-Hispanic White","Other",153397
"1349","IL","Male","35-44","Non-Hispanic White","Republican",91439
"1350","IL","Male","35-44","Other","Democratic",47756
"1351","IL","Male","35-44","Other","Other",80686
"1352","IL","Male","35-44","Other","Republican",22966
"1353","IL","Male","45-54","Black","Democratic",45333
"1354","IL","Male","45-54","Black","Other",25407
"1355","IL","Male","45-54","Black","Republican",1331
"1356","IL","Male","45-54","Non-Hispanic White","Democratic",110871
"1357","IL","Male","45-54","Non-Hispanic White","Other",135868
"1358","IL","Male","45-54","Non-Hispanic White","Republican",157800
"1359","IL","Male","45-54","Other","Democratic",56194
"1360","IL","Male","45-54","Other","Other",65270
"1361","IL","Male","45-54","Other","Republican",36528
"1362","IL","Male","55-64","Black","Democratic",52659
"1363","IL","Male","55-64","Black","Other",19488
"1364","IL","Male","55-64","Black","Republican",1424
"1365","IL","Male","55-64","Non-Hispanic White","Democratic",142185
"1366","IL","Male","55-64","Non-Hispanic White","Other",106575
"1367","IL","Male","55-64","Non-Hispanic White","Republican",195122
"1368","IL","Male","55-64","Other","Democratic",59840
"1369","IL","Male","55-64","Other","Other",45051
"1370","IL","Male","55-64","Other","Republican",40964
"1371","IL","Male","<25","Black","Democratic",10255
"1372","IL","Male","<25","Black","Other",28502
"1373","IL","Male","<25","Black","Republican",309
"1374","IL","Male","<25","Non-Hispanic White","Democratic",37293
"1375","IL","Male","<25","Non-Hispanic White","Other",102850
"1376","IL","Male","<25","Non-Hispanic White","Republican",27834
"1377","IL","Male","<25","Other","Democratic",29803
"1378","IL","Male","<25","Other","Other",57590
"1379","IL","Male","<25","Other","Republican",7946
"1380","IL","Male",">65","Black","Democratic",58101
"1381","IL","Male",">65","Black","Other",11019
"1382","IL","Male",">65","Black","Republican",1494
"1383","IL","Male",">65","Non-Hispanic White","Democratic",177118
"1384","IL","Male",">65","Non-Hispanic White","Other",89157
"1385","IL","Male",">65","Non-Hispanic White","Republican",248408
"1386","IL","Male",">65","Other","Democratic",68883
"1387","IL","Male",">65","Other","Other",38725
"1388","IL","Male",">65","Other","Republican",52067
"1389","IN","Female","25-34","Black","Democratic",9128
"1390","IN","Female","25-34","Black","Other",18032
"1391","IN","Female","25-34","Black","Republican",300
"1392","IN","Female","25-34","Non-Hispanic White","Democratic",48388
"1393","IN","Female","25-34","Non-Hispanic White","Other",145295
"1394","IN","Female","25-34","Non-Hispanic White","Republican",44931
"1395","IN","Female","25-34","Other","Democratic",12074
"1396","IN","Female","25-34","Other","Other",36805
"1397","IN","Female","25-34","Other","Republican",7785
"1398","IN","Female","35-44","Black","Democratic",13773
"1399","IN","Female","35-44","Black","Other",14530
"1400","IN","Female","35-44","Black","Republican",443
"1401","IN","Female","35-44","Non-Hispanic White","Democratic",58019
"1402","IN","Female","35-44","Non-Hispanic White","Other",134686
"1403","IN","Female","35-44","Non-Hispanic White","Republican",70388
"1404","IN","Female","35-44","Other","Democratic",13734
"1405","IN","Female","35-44","Other","Other",31623
"1406","IN","Female","35-44","Other","Republican",10852
"1407","IN","Female","45-54","Black","Democratic",15610
"1408","IN","Female","45-54","Black","Other",10214
"1409","IN","Female","45-54","Black","Republican",582
"1410","IN","Female","45-54","Non-Hispanic White","Democratic",70406
"1411","IN","Female","45-54","Non-Hispanic White","Other",115722
"1412","IN","Female","45-54","Non-Hispanic White","Republican",108892
"1413","IN","Female","45-54","Other","Democratic",13738
"1414","IN","Female","45-54","Other","Other",23016
"1415","IN","Female","45-54","Other","Republican",15123
"1416","IN","Female","55-64","Black","Democratic",18635
"1417","IN","Female","55-64","Black","Other",7068
"1418","IN","Female","55-64","Black","Republican",758
"1419","IN","Female","55-64","Non-Hispanic White","Democratic",93094
"1420","IN","Female","55-64","Non-Hispanic White","Other",89253
"1421","IN","Female","55-64","Non-Hispanic White","Republican",132171
"1422","IN","Female","55-64","Other","Democratic",16413
"1423","IN","Female","55-64","Other","Other",15990
"1424","IN","Female","55-64","Other","Republican",16907
"1425","IN","Female","<25","Black","Democratic",1821
"1426","IN","Female","<25","Black","Other",10739
"1427","IN","Female","<25","Black","Republican",102
"1428","IN","Female","<25","Non-Hispanic White","Democratic",19139
"1429","IN","Female","<25","Non-Hispanic White","Other",84828
"1430","IN","Female","<25","Non-Hispanic White","Republican",18587
"1431","IN","Female","<25","Other","Democratic",5968
"1432","IN","Female","<25","Other","Other",23538
"1433","IN","Female","<25","Other","Republican",3369
"1434","IN","Female",">65","Black","Democratic",23123
"1435","IN","Female",">65","Black","Other",4452
"1436","IN","Female",">65","Black","Republican",813
"1437","IN","Female",">65","Non-Hispanic White","Democratic",134815
"1438","IN","Female",">65","Non-Hispanic White","Other",83087
"1439","IN","Female",">65","Non-Hispanic White","Republican",197038
"1440","IN","Female",">65","Other","Democratic",21423
"1441","IN","Female",">65","Other","Other",13726
"1442","IN","Female",">65","Other","Republican",24006
"1443","IN","Male","25-34","Black","Democratic",5842
"1444","IN","Male","25-34","Black","Other",15589
"1445","IN","Male","25-34","Black","Republican",284
"1446","IN","Male","25-34","Non-Hispanic White","Democratic",41404
"1447","IN","Male","25-34","Non-Hispanic White","Other",151439
"1448","IN","Male","25-34","Non-Hispanic White","Republican",48266
"1449","IN","Male","25-34","Other","Democratic",9446
"1450","IN","Male","25-34","Other","Other",34956
"1451","IN","Male","25-34","Other","Republican",7384
"1452","IN","Male","35-44","Black","Democratic",7599
"1453","IN","Male","35-44","Black","Other",12785
"1454","IN","Male","35-44","Black","Republican",404
"1455","IN","Male","35-44","Non-Hispanic White","Democratic",44729
"1456","IN","Male","35-44","Non-Hispanic White","Other",132356
"1457","IN","Male","35-44","Non-Hispanic White","Republican",71348
"1458","IN","Male","35-44","Other","Democratic",9437
"1459","IN","Male","35-44","Other","Other",29899
"1460","IN","Male","35-44","Other","Republican",10041
"1461","IN","Male","45-54","Black","Democratic",9886
"1462","IN","Male","45-54","Black","Other",10045
"1463","IN","Male","45-54","Black","Republican",526
