"","metro_status","weight_w","vote_choice","likely_voter","sex","age","race","income","party","census_region"
"615","Metropolitan",0.1418238281,"Republican",1,"Male","65+","Non-Hispanic White","$75k-$100k","Republican","West"
"616","Metropolitan",0.0896185458,"Democrat",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Democratic","West"
"617","Metropolitan",0.3041874036,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Republican","West"
"618","Metropolitan",0.4501626792,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","Northeast"
"619","Metropolitan",0.1333822702,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Other","Northeast"
"620","Metropolitan",0.1059008732,"Democrat",1,"Male","65+","Non-Hispanic White","$30k-$50k","Democratic","North Central"
"621","Metropolitan",0.1044858375,"Democrat",1,"Female","50-64","Other","$75k-$100k","Democratic","South"
"622","Metropolitan",2.1103161687,"Republican",0,"Female","65+","Non-Hispanic White","$50k-$75k","Other","North Central"
"623","Metropolitan",0.1849648374,"Unsure/Other",0,"Male","30-49","Other","$50k-$75k","Other","West"
"624","Metropolitan",1.5635759048,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Republican","North Central"
"625","Metropolitan",0.2022626703,"Republican",1,"Female","30-49","Non-Hispanic White","$150k or more","Republican","North Central"
"626","Metropolitan",0.6457972731,"Unsure/Other",0,"Female","18-29","Non-Hispanic White","$75k-$100k","Other","Northeast"
"627","Metropolitan",2.4677279204,"Democrat",1,"Female","50-64","Black","less than $30k","Democratic","North Central"
"628","Non-metropolitan",2.3278630844,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Republican","North Central"
"629","Metropolitan",0.4530183217,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","West"
"630","Metropolitan",0.8170952017,"Unsure/Other",1,"Female","65+","Non-Hispanic White","less than $30k","Other","Northeast"
"631","Non-metropolitan",0.6916341991,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","Northeast"
"632","Metropolitan",2.2089909751,"Democrat",1,"Male","65+","Non-Hispanic White","less than $30k","Other","South"
"633","Metropolitan",0.0975802788,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","West"
"634","Non-metropolitan",0.8891124812,"Democrat",1,"Female","30-49","Non-Hispanic White","$75k-$100k","Democratic","West"
"635","Metropolitan",0.8299166257,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Other","Northeast"
"636","Metropolitan",0.130727934,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","North Central"
"637","Metropolitan",0.4794121229,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","South"
"638","Metropolitan",0.5564073516,"Republican",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Republican","Northeast"
"639","Metropolitan",0.1300797926,"Republican",1,"Female","50-64","Other","$100k-$150k","Other","West"
"640","Metropolitan",0.1296800374,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Democratic","South"
"641","Non-metropolitan",0.2869470626,"Democrat",1,"Male","65+","Non-Hispanic White","$50k-$75k","Democratic","Northeast"
"642","Metropolitan",0.0821026288,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Other","North Central"
"643","Metropolitan",7.6201779583,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Republican","North Central"
"644","Metropolitan",0.1255636474,"Republican",1,"Male","50-64","Black","$150k or more","Republican","West"
"645","Metropolitan",1.0135026648,"Republican",1,"Male","65+","Non-Hispanic White","$75k-$100k","Republican","North Central"
"646","Metropolitan",0.0821026288,"Democrat",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Democratic","Northeast"
"647","Metropolitan",0.2740713904,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Other","Northeast"
"648","Non-metropolitan",0.1317098398,"Democrat",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Other","South"
"649","Metropolitan",0.3562404903,"Republican",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Republican","South"
"650","Non-metropolitan",0.1187520861,"Republican",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Republican","West"
"651","Metropolitan",0.4286929773,"Republican",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Republican","Northeast"
"652","Metropolitan",0.0821026288,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"653","Metropolitan",0.090448903,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"654","Metropolitan",1.8339548301,"Unsure/Other",0,"Male","30-49","Non-Hispanic White","less than $30k","Other","South"
"655","Metropolitan",0.7962065221,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Republican","South"
"656","Metropolitan",0.1450071527,"Unsure/Other",0,"Female","30-49","Non-Hispanic White","$75k-$100k","Other","South"
"657","Metropolitan",0.5872132618,"Unsure/Other",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","West"
"658","Metropolitan",0.2125700216,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Republican","Northeast"
"659","Metropolitan",0.0821026288,"Democrat",1,"Female","65+","Non-Hispanic White","$50k-$75k","Democratic","South"
"660","Metropolitan",0.5753991293,"Democrat",1,"Female","50-64","Black","$50k-$75k","Democratic","North Central"
"661","Metropolitan",0.1228214942,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Democratic","West"
"662","Metropolitan",0.640582996,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Other","West"
"663","Metropolitan",0.5425820302,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Other","Northeast"
"664","Metropolitan",0.2931145747,"Republican",1,"Female","30-49","Black","$30k-$50k","Democratic","Northeast"
"665","Metropolitan",0.223689415,"Unsure/Other",1,"Male","65+","Non-Hispanic White","$30k-$50k","Other","West"
"666","Metropolitan",0.1374930095,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"667","Metropolitan",0.1334804984,"Democrat",1,"Female","65+","Other","$30k-$50k","Democratic","West"
"668","Metropolitan",0.8530962031,"Republican",0,"Female","65+","Non-Hispanic White","$50k-$75k","Republican","Northeast"
"669","Metropolitan",0.2649681619,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"670","Non-metropolitan",0.1251977598,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"671","Non-metropolitan",0.2574772255,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","West"
"672","Metropolitan",0.1255230814,"Republican",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Republican","North Central"
"673","Metropolitan",0.6209247845,"Unsure/Other",1,"Male","30-49","Non-Hispanic White","$100k-$150k","Republican","West"
"674","Non-metropolitan",0.1119899874,"Unsure/Other",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","Northeast"
"675","Metropolitan",0.5387338483,"Republican",1,"Male","65+","Non-Hispanic White","$75k-$100k","Democratic","Northeast"
"676","Metropolitan",0.9306473221,"Unsure/Other",0,"Male","30-49","Non-Hispanic White","$50k-$75k","Republican","Northeast"
"677","Metropolitan",0.272875368,"Unsure/Other",1,"Female","30-49","Other","less than $30k","Other","Northeast"
"678","Metropolitan",0.6925891577,"Unsure/Other",0,"Female","50-64","Non-Hispanic White","$100k-$150k","Other","North Central"
"679","Metropolitan",0.1335655568,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Republican","Northeast"
"680","Metropolitan",0.67524529,"Republican",1,"Female","50-64","Non-Hispanic White","less than $30k","Other","Northeast"
"681","Metropolitan",0.0943809983,"Unsure/Other",0,"Male","50-64","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"682","Non-metropolitan",0.0931542411,"Republican",1,"Male","30-49","Other","$50k-$75k","Republican","West"
"683","Non-metropolitan",0.5940571115,"Republican",1,"Female","50-64","Non-Hispanic White","$150k or more","Republican","West"
"684","Metropolitan",0.1524137323,"Democrat",1,"Male","50-64","Other","$100k-$150k","Democratic","West"
"685","Metropolitan",1.8264952307,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","South"
"686","Metropolitan",0.131813131,"Democrat",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Democratic","West"
"687","Metropolitan",0.0921411608,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Other","South"
"688","Metropolitan",0.4673936156,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Democratic","Northeast"
"689","Non-metropolitan",1.3793220059,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","North Central"
"690","Metropolitan",0.1310611761,"Republican",1,"Female","30-49","Non-Hispanic White","$50k-$75k","Republican","Northeast"
"691","Metropolitan",0.2006839282,"Unsure/Other",1,"Female","65+","Non-Hispanic White","$75k-$100k","Other","West"
"692","Metropolitan",0.1358340479,"Democrat",1,"Male","18-29","Other","$30k-$50k","Other","West"
"693","Metropolitan",1.1093487929,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","Northeast"
"694","Metropolitan",0.1152096919,"Democrat",1,"Male","30-49","Non-Hispanic White","$150k or more","Democratic","North Central"
"695","Metropolitan",0.1038288295,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","South"
"696","Metropolitan",0.0969404926,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Other","North Central"
"697","Metropolitan",0.2249240297,"Unsure/Other",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Republican","South"
"698","Non-metropolitan",0.1153612938,"Democrat",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Democratic","Northeast"
"699","Non-metropolitan",0.3007431241,"Republican",1,"Female","65+","Non-Hispanic White","$150k or more","Republican","West"
"700","Metropolitan",0.1264747518,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"701","Metropolitan",0.2287393256,"Unsure/Other",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","South"
"702","Metropolitan",0.4403216981,"Democrat",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Democratic","South"
"703","Non-metropolitan",0.4700436981,"Democrat",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Democratic","South"
"704","Metropolitan",0.1172804683,"Democrat",1,"Female","65+","Non-Hispanic White","less than $30k","Democratic","North Central"
"705","Metropolitan",0.799106671,"Democrat",1,"Female","50-64","Black","$50k-$75k","Other","South"
"706","Metropolitan",0.2117852516,"Unsure/Other",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Other","South"
"707","Metropolitan",0.5177490578,"Republican",1,"Female","30-49","Non-Hispanic White","$50k-$75k","Republican","South"
"708","Metropolitan",0.0975802788,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Democratic","West"
"709","Metropolitan",0.2145083465,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Republican","West"
"710","Metropolitan",0.1058114278,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","South"
"711","Non-metropolitan",0.1443239003,"Democrat",1,"Female","30-49","Non-Hispanic White","$75k-$100k","Democratic","South"
"712","Metropolitan",0.2158375558,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","South"
"713","Metropolitan",0.1015464286,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Republican","West"
"714","Metropolitan",0.1296800374,"Democrat",1,"Female","65+","Non-Hispanic White","less than $30k","Democratic","South"
"715","Non-metropolitan",0.269261234,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Other","West"
"716","Metropolitan",0.2903569128,"Democrat",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Other","South"
"717","Metropolitan",0.1475003101,"Democrat",1,"Female","50-64","Non-Hispanic White","less than $30k","Other","South"
"718","Metropolitan",0.174706559,"Republican",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Other","South"
"719","Metropolitan",1.7914324512,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","West"
"720","Metropolitan",0.0868908013,"Democrat",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","South"
"721","Metropolitan",0.1693416972,"Republican",1,"Female","65+","Non-Hispanic White","$150k or more","Republican","South"
"722","Non-metropolitan",0.6822974538,"Republican",1,"Female","65+","Non-Hispanic White","$75k-$100k","Republican","South"
"723","Metropolitan",7.6201779583,"Democrat",1,"Female","65+","Black","less than $30k","Democratic","South"
"724","Metropolitan",0.2674508844,"Unsure/Other",1,"Female","65+","Non-Hispanic White","$150k or more","Other","South"
"725","Metropolitan",0.5656156143,"Republican",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","South"
"726","Metropolitan",2.3244076329,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Republican","West"
"727","Metropolitan",0.3529931805,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Democratic","South"
"728","Metropolitan",0.102007245,"Democrat",1,"Female","30-49","Other","$75k-$100k","Democratic","South"
"729","Metropolitan",0.5789944862,"Unsure/Other",0,"Female","65+","Non-Hispanic White","$30k-$50k","Other","North Central"
"730","Metropolitan",0.0855167635,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Other","South"
"731","Metropolitan",0.1710800755,"Democrat",1,"Male","50-64","Other","$150k or more","Other","West"
"732","Metropolitan",2.768768926,"Democrat",1,"Male","65+","Non-Hispanic White","$30k-$50k","Other","Northeast"
"733","Metropolitan",0.1081674052,"Republican",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Other","South"
"734","Metropolitan",0.5094833372,"Republican",1,"Male","30-49","Non-Hispanic White","$75k-$100k","Other","North Central"
"735","Metropolitan",0.2037353031,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Other","South"
"736","Metropolitan",0.562568016,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Republican","Northeast"
"737","Metropolitan",0.6603599723,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Other","North Central"
"738","Metropolitan",0.8086426055,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Republican","South"
"739","Metropolitan",0.9203248175,"Democrat",1,"Male","18-29","Non-Hispanic White","$50k-$75k","Democratic","North Central"
"740","Metropolitan",0.5864989334,"Democrat",1,"Male","30-49","Non-Hispanic White","$150k or more","Democratic","South"
"741","Metropolitan",0.5451544755,"Democrat",0,"Female","65+","Non-Hispanic White","$30k-$50k","Other","North Central"
"742","Metropolitan",0.1541716189,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Republican","West"
"743","Metropolitan",4.7086020886,"Unsure/Other",0,"Female","65+","Other","less than $30k","Democratic","South"
"744","Metropolitan",7.6201779583,"Democrat",1,"Male","65+","Black","$30k-$50k","Other","South"
"745","Metropolitan",0.3677734021,"Republican",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Republican","North Central"
"746","Metropolitan",0.5379703403,"Republican",0,"Female","18-29","Non-Hispanic White","$50k-$75k","Other","North Central"
"747","Metropolitan",0.5558829928,"Republican",1,"Female","50-64","Other","$50k-$75k","Republican","South"
"748","Metropolitan",0.2259505909,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","West"
"749","Metropolitan",0.1738519303,"Republican",1,"Female","65+","Non-Hispanic White","$150k or more","Republican","North Central"
"750","Metropolitan",0.1161976598,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"751","Metropolitan",0.1748447371,"Republican",1,"Female","65+","Non-Hispanic White","$150k or more","Republican","North Central"
"752","Non-metropolitan",0.4426814707,"Democrat",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Other","North Central"
"753","Non-metropolitan",7.6201779583,"Unsure/Other",0,"Male","30-49","Other","less than $30k","Other","North Central"
"754","Metropolitan",0.3533129926,"Democrat",1,"Male","30-49","Black","$30k-$50k","Democratic","Northeast"
"755","Metropolitan",0.4701911398,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","North Central"
"756","Metropolitan",4.663350982,"Unsure/Other",0,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","North Central"
"757","Metropolitan",0.350668003,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Republican","South"
"758","Metropolitan",0.216263591,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","North Central"
"759","Metropolitan",0.2459395763,"Unsure/Other",1,"Male","50-64","Non-Hispanic White","$30k-$50k","Other","Northeast"
"760","Non-metropolitan",1.236926736,"Democrat",1,"Male","30-49","Non-Hispanic White","less than $30k","Democratic","North Central"
"761","Metropolitan",0.2726679651,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Other","West"
"762","Metropolitan",0.1458839918,"Democrat",1,"Female","18-29","Non-Hispanic White","$100k-$150k","Democratic","Northeast"
"763","Metropolitan",1.0571468061,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Republican","South"
"764","Metropolitan",0.1957333854,"Republican",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Republican","North Central"
"765","Metropolitan",0.0821026288,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","Northeast"
"766","Metropolitan",0.3419873911,"Unsure/Other",1,"Male","30-49","Non-Hispanic White","$50k-$75k","Other","North Central"
"767","Metropolitan",0.8627230844,"Democrat",1,"Female","30-49","Black","$30k-$50k","Democratic","South"
"768","Metropolitan",0.1519446368,"Republican",1,"Female","50-64","Non-Hispanic White","$150k or more","Other","Northeast"
"769","Metropolitan",1.4999423754,"Democrat",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Other","North Central"
"770","Metropolitan",0.2045311612,"Democrat",1,"Female","50-64","Other","$150k or more","Democratic","West"
"771","Metropolitan",0.126568158,"Democrat",1,"Male","65+","Non-Hispanic White","$30k-$50k","Democratic","Northeast"
"772","Metropolitan",0.1394449719,"Democrat",1,"Male","65+","Non-Hispanic White","less than $30k","Other","Northeast"
"773","Metropolitan",0.1413775943,"Democrat",1,"Male","65+","Non-Hispanic White","$30k-$50k","Other","West"
"774","Metropolitan",0.0910264211,"Democrat",1,"Female","30-49","Non-Hispanic White","$150k or more","Democratic","West"
"775","Non-metropolitan",1.043406404,"Unsure/Other",1,"Male","30-49","Black","$50k-$75k","Democratic","North Central"
"776","Metropolitan",0.3256500972,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","South"
"777","Metropolitan",0.5830232444,"Democrat",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Democratic","Northeast"
"778","Metropolitan",0.3914728346,"Republican",0,"Male","50-64","Non-Hispanic White","$150k or more","Republican","South"
"779","Metropolitan",0.6921530391,"Unsure/Other",0,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","West"
"780","Metropolitan",2.1961918344,"Republican",1,"Male","30-49","Other","$150k or more","Republican","West"
"781","Metropolitan",0.1581105286,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","Northeast"
"782","Non-metropolitan",0.5063618578,"Republican",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Republican","North Central"
"783","Metropolitan",0.1028173425,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Republican","North Central"
"784","Metropolitan",0.4093054957,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Republican","Northeast"
"785","Metropolitan",0.4523713405,"Republican",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Republican","North Central"
"786","Metropolitan",1.0654857596,"Republican",1,"Male","65+","Non-Hispanic White","$50k-$75k","Republican","North Central"
"787","Metropolitan",0.0821026288,"Democrat",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Democratic","West"
"788","Metropolitan",0.0821026288,"Democrat",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Democratic","West"
"789","Metropolitan",3.946292919,"Unsure/Other",0,"Female","30-49","Non-Hispanic White","less than $30k","Other","South"
"790","Metropolitan",0.9770486258,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Republican","South"
"791","Metropolitan",0.1236407532,"Democrat",1,"Female","30-49","Non-Hispanic White","$75k-$100k","Democratic","North Central"
"792","Metropolitan",0.2654442988,"Republican",1,"Female","65+","Non-Hispanic White","$50k-$75k","Republican","West"
"793","Metropolitan",1.7457772799,"Democrat",1,"Female","30-49","Other","$50k-$75k","Democratic","North Central"
"794","Non-metropolitan",0.7565312121,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","North Central"
"795","Metropolitan",0.3786573717,"Democrat",1,"Male","50-64","Non-Hispanic White","$150k or more","Democratic","West"
"796","Metropolitan",0.2084361766,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Republican","West"
"797","Metropolitan",0.1515672347,"Democrat",1,"Female","65+","Non-Hispanic White","$50k-$75k","Democratic","Northeast"
"798","Non-metropolitan",0.1963804474,"Republican",1,"Female","65+","Non-Hispanic White","$150k or more","Republican","South"
"799","Metropolitan",0.3000375003,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Democratic","West"
"800","Metropolitan",0.158678956,"Republican",1,"Male","65+","Other","$75k-$100k","Other","Northeast"
"801","Metropolitan",0.1431566689,"Unsure/Other",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Other","North Central"
"802","Metropolitan",0.221939482,"Republican",1,"Male","65+","Non-Hispanic White","$50k-$75k","Republican","South"
"803","Metropolitan",0.8815218638,"Democrat",0,"Female","30-49","Other","$100k-$150k","Democratic","South"
"804","Metropolitan",7.0616359339,"Unsure/Other",0,"Female","50-64","Other","less than $30k","Democratic","West"
"805","Metropolitan",0.2830570053,"Republican",1,"Male","30-49","Non-Hispanic White","less than $30k","Democratic","Northeast"
"806","Metropolitan",0.4090167072,"Republican",1,"Female","50-64","Other","$100k-$150k","Republican","North Central"
"807","Metropolitan",0.3430177676,"Democrat",1,"Female","65+","Non-Hispanic White","$50k-$75k","Other","West"
"808","Metropolitan",0.1408742732,"Republican",1,"Male","30-49","Non-Hispanic White","$100k-$150k","Republican","North Central"
"809","Metropolitan",0.3745353431,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Other","South"
"810","Metropolitan",0.0949381551,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","West"
"811","Metropolitan",0.089594443,"Democrat",1,"Male","30-49","Non-Hispanic White","$75k-$100k","Democratic","West"
"812","Metropolitan",0.4009695482,"Democrat",1,"Female","65+","Non-Hispanic White","less than $30k","Democratic","North Central"
"813","Metropolitan",0.5500121688,"Republican",1,"Male","65+","Non-Hispanic White","$50k-$75k","Other","North Central"
"814","Non-metropolitan",0.137386627,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Other","North Central"
"815","Metropolitan",0.1354107401,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","West"
"816","Metropolitan",0.2849871077,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","West"
"817","Metropolitan",1.9426078029,"Republican",1,"Female","65+","Non-Hispanic White","less than $30k","Republican","South"
"818","Metropolitan",0.144621766,"Republican",1,"Male","65+","Non-Hispanic White","$75k-$100k","Republican","Northeast"
"819","Metropolitan",1.0541538503,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"820","Metropolitan",0.2170483607,"Unsure/Other",1,"Male","50-64","Non-Hispanic White","less than $30k","Other","West"
"821","Metropolitan",0.525893464,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Other","West"
"822","Non-metropolitan",0.1230375218,"Republican",1,"Male","30-49","Non-Hispanic White","less than $30k","Republican","South"
"823","Non-metropolitan",0.2428580096,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","North Central"
"824","Metropolitan",0.7916345674,"Unsure/Other",1,"Female","30-49","Other","less than $30k","Other","Northeast"
"825","Metropolitan",0.1343469016,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","South"
"826","Metropolitan",7.6201779583,"Unsure/Other",1,"Male","30-49","Other","less than $30k","Other","West"
"827","Metropolitan",0.2961115432,"Unsure/Other",1,"Female","30-49","Other","less than $30k","Democratic","South"
"828","Metropolitan",0.1838946167,"Unsure/Other",1,"Male","30-49","Non-Hispanic White","$75k-$100k","Other","Northeast"
"829","Non-metropolitan",0.1796873964,"Democrat",1,"Male","65+","Other","$50k-$75k","Democratic","North Central"
"830","Metropolitan",3.4469164747,"Democrat",1,"Female","30-49","Black","less than $30k","Democratic","North Central"
"831","Metropolitan",0.209399981,"Unsure/Other",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","North Central"
"832","Metropolitan",1.1157713864,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Other","Northeast"
"833","Metropolitan",0.170519295,"Democrat",1,"Female","30-49","Black","$50k-$75k","Democratic","South"
"834","Non-metropolitan",0.1629836427,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"835","Metropolitan",1.2558718581,"Unsure/Other",1,"Male","30-49","Non-Hispanic White","$100k-$150k","Other","Northeast"
"836","Metropolitan",0.6607790505,"Democrat",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","West"
"837","Metropolitan",0.3125427868,"Democrat",1,"Male","50-64","Black","$50k-$75k","Other","South"
"838","Metropolitan",0.287066407,"Republican",1,"Male","30-49","Non-Hispanic White","$150k or more","Republican","North Central"
"839","Non-metropolitan",0.1366013668,"Republican",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Republican","West"
"840","Non-metropolitan",0.128696974,"Democrat",1,"Female","65+","Non-Hispanic White","$150k or more","Democratic","Northeast"
"841","Metropolitan",0.2689802945,"Unsure/Other",1,"Female","50-64","Black","$75k-$100k","Democratic","South"
"842","Metropolitan",2.9004206813,"Democrat",1,"Male","50-64","Black","$50k-$75k","Democratic","North Central"
"843","Metropolitan",0.5400772338,"Democrat",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Democratic","West"
"844","Metropolitan",0.2283958449,"Democrat",1,"Female","50-64","Other","$50k-$75k","Democratic","South"
"845","Metropolitan",0.221939482,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"846","Metropolitan",0.1130165776,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Democratic","South"
"847","Metropolitan",0.2471218258,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Other","South"
"848","Metropolitan",0.1572092349,"Republican",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Republican","Northeast"
"849","Non-metropolitan",0.2020649258,"Republican",1,"Female","30-49","Non-Hispanic White","$150k or more","Other","North Central"
"850","Metropolitan",0.1076664306,"Democrat",0,"Female","30-49","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"851","Metropolitan",0.1725149001,"Democrat",0,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","West"
"852","Metropolitan",0.1762034071,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","West"
"853","Metropolitan",0.3926498546,"Republican",1,"Male","65+","Non-Hispanic White","$50k-$75k","Republican","North Central"
"854","Metropolitan",0.1516878571,"Democrat",1,"Female","30-49","Non-Hispanic White","$30k-$50k","Other","Northeast"
"855","Metropolitan",0.3776598667,"Unsure/Other",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"856","Metropolitan",0.1270649222,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Democratic","Northeast"
"857","Metropolitan",0.1430364588,"Democrat",1,"Female","65+","Non-Hispanic White","$150k or more","Other","West"
"858","Non-metropolitan",1.528759899,"Democrat",1,"Male","65+","Non-Hispanic White","$30k-$50k","Democratic","North Central"
